frame,score,n_missing_dots
0,6.881046,0
1,1.961735,0
2,3.131940,0
3,9.617883,0
4,138.713174,0
5,8.970294,0
6,0.825480,0
7,1.517661,0
8,1.843275,0
9,2.001379,0
10,5.037804,0
11,1.639516,0
12,4.999894,0
13,1.905700,0
14,2.906212,0
15,5.533651,0
16,137.209265,0
17,1.194872,0
18,1.890565,0
19,3.124621,0
20,2.806667,0
21,5.364576,0
22,2.573119,0
23,1.423150,0
24,2.335637,0
25,1.281825,0
26,2.704725,0
27,8.407242,0
28,5.726877,0
29,1.595611,0
30,1.083021,0
31,2.570271,0
32,0.980827,0
33,2.489617,0
34,13.694743,0
35,5.071859,0
36,1.579171,0
37,0.815968,0
38,2866.750550,0
39,4.605198,0
40,4.312669,0
41,12.595897,0
42,23.402604,0
43,5.446714,0
44,3.228309,0
45,121714.049537,0
46,26632.203623,0
47,2868.642685,0
48,4.264543,0
49,0.754148,0
50,0.889047,0
51,2.024689,0
52,9.503859,0
53,9.367101,0
54,39.102279,0
55,5.137910,0
56,6.647346,0
57,38.433138,0
58,66.261716,0
59,9.635673,0
60,2.281095,0
61,1.009778,0
62,4.335844,0
63,3.372076,0
64,9.268378,0
65,4.474190,0
66,5.100958,0
67,0.959764,0
68,5.976562,0
69,2.874267,0
70,5.810244,0
71,1.811370,0
72,44558.471888,0
73,19.606636,0
74,6.944402,0
75,1.156216,0
76,0.968875,0
77,1.233696,0
78,6.570458,0
79,5.125097,0
80,0.955808,0
81,129849.020818,0
82,2.487982,0
83,7.714902,0
84,6.113048,0
85,0.791570,0
86,4.295453,0
87,12.928060,0
88,11.487662,0
89,4.485250,0
90,2.043574,0
91,4.253713,0
92,6.870509,0
93,8.516072,0
94,7.631063,0
95,148.701362,0
96,5.058628,0
97,1.780809,0
98,8.564402,0
99,5.557013,0
