frame,score,n_missing_dots
0,0.793130,0
1,1.132955,0
2,156.722148,0
3,64.826809,0
4,1.716574,0
5,1.451482,0
6,155.715941,0
7,0.952078,0
8,0.911217,0
9,0.933426,0
10,0.994720,0
11,2.091053,0
12,9945.812715,0
13,0.906896,0
14,157.387149,0
15,0.960546,0
16,0.848312,0
17,255.266672,0
18,5.753434,0
19,0.896098,0
20,1.147071,0
21,1.281240,0
22,0.959091,0
23,257.075805,0
24,1.000150,0
25,156.669104,0
26,410.705818,0
27,1.083915,0
28,0.860307,0
29,1.362649,0
30,1.526515,0
31,0.917544,0
32,156.502429,0
33,1.190595,0
34,0.751870,0
35,1.821513,0
36,1.621611,0
37,1.561375,0
38,156.361688,0
39,1.353578,0
40,256.052242,0
41,0.863374,0
42,0.948392,0
43,256.746036,0
44,1.749690,0
45,1.714947,0
46,2.544221,0
47,502.366506,0
48,1.486608,0
49,2149.314550,0
50,0.813929,0
51,0.760916,0
52,2.195667,0
53,0.803474,0
54,1.808139,0
55,1.540618,0
56,1.105252,0
57,255.345723,0
58,155.795443,0
59,0.855299,0
60,1.636090,0
61,14.570343,0
62,0.883632,0
63,2.317684,0
64,2.435656,0
65,1.485763,0
66,2.216326,0
67,3.491150,0
68,1.469773,0
69,1.943090,0
70,256.524035,0
71,1.562732,0
72,1.218017,0
73,0.849755,0
74,1.122646,0
75,1.247460,0
76,0.876583,0
77,255.309720,0
78,1.220312,0
79,1.005858,0
80,0.811336,0
81,156.840995,0
82,1.018384,0
83,63.832498,0
84,256.759685,0
85,155.704832,0
86,155.971977,0
87,1.451463,0
88,2.344771,0
89,255.402446,0
90,276.873162,0
91,155.837704,0
92,2.166882,0
93,0.854801,0
94,1.694476,0
95,156.581979,0
96,1.085411,0
97,1.404575,0
98,410.286628,0
99,0.762818,0
