frame,score,n_missing_dots
0,0.843941,0
1,0.834547,0
2,0.964061,0
3,0.940528,0
4,68.876917,0
5,0.935887,0
6,0.926113,0
7,0.892502,0
8,4.824970,0
9,4.541643,0
10,0.935473,0
11,0.994060,0
12,0.875985,0
13,1.004121,0
14,4.425780,0
15,0.983278,0
16,1.018180,0
17,1.105536,0
18,4.309331,0
19,1.023264,0
20,4.389028,0
21,1.252975,0
22,1.604637,0
23,1.104916,0
24,4.284583,0
25,4.739718,0
26,0.988686,0
27,4.581131,0
28,0.945416,0
29,0.955711,0
30,1.132027,0
31,4.578364,0
32,1.026070,0
33,4.687957,0
34,1.055623,0
35,1.084389,0
36,7995.518107,0
37,4.508822,0
38,4.470097,0
39,4.313822,0
40,1.038548,0
41,1.410549,0
42,1.319908,0
43,1.106248,0
44,1.207626,0
45,1.151978,0
46,4.403997,0
47,4.352099,0
48,65.797509,0
49,1.336381,0
50,1.174053,0
51,4.388326,0
52,4.428619,0
53,4.498287,0
54,1.255388,0
55,1.003618,0
56,4.566243,0
57,1.180086,0
58,0.917723,0
59,1.093918,0
60,1.168442,0
61,0.990761,0
62,0.870099,0
63,4.273499,0
64,1.167051,0
65,1.176284,0
66,4.730877,0
67,1.179974,0
68,4.358615,0
69,4.264583,0
70,0.937127,0
71,4.418087,0
72,0.931520,0
73,4.230387,0
74,4.777316,0
75,4.464380,0
76,1.525780,0
77,1.042439,0
78,1.443268,0
79,4.246458,0
80,1.210839,0
81,4.459425,0
82,0.985358,0
83,1.174876,0
84,69.266535,0
85,4.514106,0
86,4.482394,0
87,1.122243,0
88,0.964823,0
89,4.371520,0
90,1.049952,0
91,4.395677,0
92,4.346406,0
93,4.374588,0
94,0.993186,0
95,1.457304,0
96,65.805661,0
97,1.248311,0
98,1.338981,0
99,4.411674,0
