frame,score,n_missing_dots
0,1.109570,0
1,1.332129,0
2,1.404180,0
3,411.622499,0
4,119.085333,0
5,130.611115,0
6,238.474029,0
7,0.845475,0
8,12.422265,0
9,294.439127,0
10,142.795654,0
11,73.921175,0
12,112.182203,0
13,1.387767,0
14,162.058875,0
15,161.856394,0
16,1061.024263,0
17,1044.844391,0
18,12.173144,0
19,5.882977,0
20,91.204983,0
21,52.493809,0
22,6.161813,0
23,2.184456,0
24,7.480815,0
25,7.148021,0
26,47.433672,0
27,1.067844,0
28,6.367787,0
29,20.552951,0
30,0.792899,0
31,1.486351,0
32,1.001761,0
33,1152.046764,0
34,5.684188,0
35,10.929097,0
36,100.042950,0
37,2.338268,0
38,15.745837,0
39,9.942554,0
40,1.412688,0
41,0.756074,0
42,0.876092,0
43,1.176376,0
44,48.643029,0
45,130.104420,0
46,1040.110581,0
47,50.129199,0
48,1056.265261,0
49,1.095079,0
50,1.442008,0
51,0.785626,0
52,136.801343,0
53,16.030762,0
54,53.013854,0
55,48.136981,0
56,1047.521498,0
57,1039.919551,0
58,2.227115,0
59,0.775812,0
60,0.962381,0
61,0.965722,0
62,0.952639,0
63,6.062662,0
64,6.116867,0
65,10.220315,0
66,11.569473,0
67,423.033337,0
68,2.633004,0
69,22.543033,0
70,6.425594,0
71,6.719848,0
72,1.318427,0
73,1.418020,0
74,1040.878823,0
75,47.365597,0
76,162.004595,0
77,21.797010,0
78,0.924930,0
79,1.608962,0
80,17.421532,0
81,29.049285,0
82,1.240994,0
83,3.339703,0
84,21.087080,0
85,91.987272,0
86,1.173938,0
87,2.474403,0
88,208.553319,0
89,20.690614,0
90,17.138031,0
91,1.890158,0
92,1.498343,0
93,21.551181,0
94,1041.577122,0
95,6.900022,0
96,1041.302741,0
97,5.684623,0
98,1.640883,0
99,1.429589,0
