frame,score,n_missing_dots
0,9.864628,0
1,3.511073,0
2,181.617587,0
3,1344.058032,0
4,2.187694,0
5,3.919520,0
6,86.279033,0
7,170.642141,0
8,45.344563,0
9,1.449328,0
10,760.059694,0
11,50.224292,0
12,2.994460,0
13,28.470835,0
14,1.715125,0
15,4.173232,0
16,768.353302,0
17,2.927452,0
18,775.714477,0
19,8.744882,0
20,10.509025,0
21,1870.712485,0
22,1702.037183,0
23,1701.346212,0
24,1342.847837,0
25,2564.182106,0
26,14.311797,0
27,2.249057,0
28,29.248851,0
29,1359.562435,0
30,1700.727139,0
31,2.757316,0
32,1293.360127,0
33,1368.004445,0
34,2.792312,0
35,178.662892,0
36,8.150287,0
37,1390.268009,0
38,5642.771877,0
39,2.315456,0
40,1.497422,0
41,617.515910,0
42,2.008996,0
43,3.091650,0
44,1.230778,0
45,24.385971,0
46,23.873170,0
47,169.298115,0
48,1344.077818,0
49,1343.240669,0
50,1.005804,0
51,3453.491050,0
52,8.109179,0
53,12.084576,0
54,48.908015,0
55,27.747420,0
56,2112.931248,0
57,7.182800,0
58,764.318357,0
59,1.982889,0
60,925.710785,0
61,1867.215223,0
62,3.106088,0
63,3.566395,0
64,2.894671,0
65,64.261493,0
66,2.940401,0
67,3.749986,0
68,760.129889,0
69,1702.280617,0
70,194.471512,0
71,5.549541,0
72,1365.269535,0
73,172.954755,0
74,1176.050253,0
75,1245.671698,0
76,4.069124,0
77,3.147866,0
78,1344.283280,0
79,4.299124,0
80,2.488921,0
81,1703.377274,0
82,759.403698,0
83,7.217043,0
84,1367.833871,0
85,78.934305,0
86,1225.585563,0
87,1225.100133,0
88,763.563892,0
89,1343.681669,0
90,1701.629965,0
91,14.717924,0
92,3.069729,0
93,1342.725009,0
94,29.456768,0
95,178.323405,0
96,3.147055,0
97,785.483908,0
98,195.559555,0
99,747.619023,0
