frame,score,n_missing_dots
0,0.834989,0
1,0.828171,0
2,0.908469,0
3,1.097043,0
4,0.928910,0
5,0.974920,0
6,1111.536700,0
7,1.065071,0
8,0.887971,0
9,0.816778,0
10,1.010291,0
11,0.865432,0
12,0.877798,0
13,0.875386,0
14,0.842030,0
15,0.890089,0
16,0.949745,0
17,0.972319,0
18,0.960616,0
19,0.979168,0
20,1.135155,0
21,1.128812,0
22,0.832032,0
23,0.906461,0
24,1.063255,0
25,0.836384,0
26,0.954266,0
27,0.770758,0
28,0.853588,0
29,0.843266,0
30,0.843103,0
31,1.142397,0
32,1.068603,0
33,0.844422,0
34,0.983386,0
35,0.939814,0
36,0.820852,0
37,0.871847,0
38,0.857105,0
39,0.836515,0
40,1.127529,0
41,0.836497,0
42,1.090048,0
43,0.949951,0
44,0.890405,0
45,0.856606,0
46,1.134434,0
47,1.049024,0
48,1.158780,0
49,0.971404,0
50,1.066596,0
51,0.901264,0
52,1.087885,0
53,1.207113,0
54,0.939151,0
55,1.048377,0
56,0.855599,0
57,0.918414,0
58,0.859959,0
59,0.879873,0
60,0.810132,0
61,0.803104,0
62,0.870733,0
63,1.156030,0
64,0.942462,0
65,1.141910,0
66,1.020353,0
67,1.079650,0
68,0.895883,0
69,1.012022,0
70,1.060341,0
71,1.029803,0
72,0.820881,0
73,0.960093,0
74,0.887651,0
75,0.873186,0
76,0.872766,0
77,1.122729,0
78,0.788881,0
79,0.916632,0
80,0.984650,0
81,0.894554,0
82,1.170980,0
83,0.810294,0
84,1.141771,0
85,0.982656,0
86,424950.017737,0
87,0.942611,0
88,1.037431,0
89,0.917263,0
90,0.865662,0
91,1.211767,0
92,0.809230,0
93,0.869154,0
94,1.002826,0
95,1.077282,0
96,0.780458,0
97,0.881222,0
98,0.852976,0
99,0.853620,0
