error_cm,count
-5.5,1
-5.0,1
-4.5,1
-4.0,1
-3.5,1
-3.0,1
-2.5,10
-2.0,7
-1.5,4
-1.0,8
-0.5,14
0.0,10
0.5,12
1.0,5
1.5,10
2.0,2
2.5,5
3.0,2
3.5,1
4.0,3
4.5,1
