frame,score,n_missing_dots
0,473613.152184,0
1,1575680.936361,0
2,153342.047560,0
3,708277.073218,0
4,275899.179020,0
5,556964.938319,0
6,826504.051804,0
7,451264.754367,0
8,451266.670784,0
9,410995.914396,0
10,12245.160955,0
11,2626061.988157,0
12,53288.279156,0
13,396077.472119,0
14,302897.117907,0
15,12557.282962,0
16,749949.187512,0
17,84413.123678,0
18,1567069.837273,0
19,2368228.888992,0
20,19528.478033,0
21,783840.256791,0
22,356174.113168,0
23,22935.663751,0
24,1400436.670850,0
25,2130342.070810,0
26,113078.953844,0
27,90714.998324,0
28,356618.650693,0
29,33079.083334,0
30,418077.729074,0
31,821308.855352,0
32,666789.587887,0
33,489341.942944,0
34,1376419.347395,0
35,223257.286989,0
36,1486718.656419,0
37,519445.569405,0
38,675127.691734,0
39,1370320.691121,0
40,1537404.369144,0
41,1197382.630300,0
42,4478504.975189,0
43,1846018.354727,0
44,753502.552525,0
45,1676691.603329,0
46,706982.242153,0
47,11361.709959,0
48,1964.695541,0
49,9337.234825,0
50,501561.006995,0
51,24501.916952,0
52,1082393.632701,0
53,11521.545636,0
54,16659.460135,0
55,2772802.830084,0
56,548818.163251,0
57,287421.018406,0
58,287427.303406,0
59,4246696.261565,0
60,18909.182596,0
61,2196059.553770,0
62,49462.627781,0
63,5438896.464641,0
64,150339.571591,0
65,1623925.301198,0
66,690569.937822,0
67,1783853.939825,0
68,1533566.143202,0
69,2052644.763032,0
70,3164937.608879,0
71,431281.185531,0
72,414844.564735,0
73,241011.260802,0
74,918676.658025,0
75,235049.838566,0
76,6938.294600,0
77,1254939.448175,0
78,723372.014845,0
79,304799.672105,0
80,592961.595992,0
81,308683.893663,0
82,699775.837695,0
83,256521.127492,0
84,2092987.253488,0
85,260802.297160,0
86,2597.977609,0
87,201935.414611,0
88,148279.318858,0
89,2525347.151591,0
90,192646.455662,0
91,733211.457523,0
92,955649.802306,0
93,3131840.810730,0
94,573189.002737,0
95,16080.959472,0
96,1094374.481208,0
97,537810.241355,0
98,6997711.589077,0
99,19568.071839,0
