frame,score,n_missing_dots
0,3185.100882,0
1,9.791694,0
2,11090.190450,0
3,1084.938659,0
4,1560.938469,0
5,58450.809064,0
6,464.236463,0
7,18.058161,0
8,1316.147399,0
9,38.794726,0
10,2228.708399,0
11,35.495242,0
12,206.643535,0
13,914.576235,0
14,19.033595,0
15,755.270997,0
16,49.924804,0
17,85.047875,0
18,32.468203,0
19,17.417636,0
20,42.748177,0
21,987.352188,0
22,2178.255409,0
23,10.472884,0
24,793.720143,0
25,50.302805,0
26,819.449157,0
27,10.392266,0
28,82480.628364,0
29,4126.412701,0
30,11.646039,0
31,31.057411,0
32,284165.570718,0
33,916.876478,0
34,595.110582,0
35,1293.416752,0
36,230.913435,0
37,578.259168,0
38,18.215850,0
39,125.600498,0
40,22.255554,0
41,40.796947,0
42,39.514623,0
43,350.784526,0
44,1529.362009,0
45,561.731227,0
46,7.351148,0
47,5797.735360,0
48,16.893689,0
49,1939.980641,0
50,39.690112,0
51,116.218040,0
52,118.511043,0
53,6.125861,0
54,152.438179,0
55,169.279684,0
56,547.707792,0
57,32.858892,0
58,16.322401,0
59,1171.434102,0
60,15.544674,0
61,13.972634,0
62,2540.852930,0
63,733.536778,0
64,177863.776831,0
65,518.651345,0
66,41.030033,0
67,409.730026,0
68,16.509415,0
69,573.612035,0
70,1174.992729,0
71,4734.357942,0
72,5481.110831,0
73,2873.052361,0
74,32.146876,0
75,7.176285,0
76,9.388044,0
77,2713.417481,0
78,942.298190,0
79,1047.402596,0
80,1046.748975,0
81,1541.446362,0
82,50.098236,0
83,1044.022435,0
84,312.555277,0
85,717.976820,0
86,78.810486,0
87,10.661268,0
88,82986.220303,0
89,836.687548,0
90,65.887485,0
91,973.046248,0
92,235.749722,0
93,1076.595519,0
94,116.840821,0
95,40333.894657,0
96,113310.109834,0
97,423.831332,0
98,1291.169681,0
99,277.258399,0
