error_cm,count
-10.0,2
-9.0,2
-8.5,1
-7.0,1
-6.5,1
-6.0,1
-5.5,2
-5.0,2
-4.5,5
-4.0,2
-3.5,3
-3.0,2
-2.5,3
-2.0,1
-1.5,8
-1.0,4
-0.5,4
-0.0,6
0.5,8
1.0,3
1.5,4
2.0,1
2.5,2
3.0,2
3.5,3
4.0,9
4.5,4
5.0,1
5.5,4
6.0,1
6.5,2
7.0,3
7.5,1
10.0,1
11.0,1
