frame,score,n_missing_dots
0,1.338935,0
1,1.406352,0
2,1.649746,0
3,1.273684,0
4,28.903450,0
5,9.116697,0
6,0.799163,0
7,2.876889,0
8,1.304716,0
9,9.338781,0
10,2.447964,0
11,1.461756,0
12,2.275725,0
13,0.853338,0
14,1.488406,0
15,1.361777,0
16,51.182435,0
17,50.013595,0
18,3.937114,0
19,2.528417,0
20,9.141619,0
21,63.776741,0
22,1.956579,0
23,2.085446,0
24,2.040796,0
25,2.533032,0
26,1.349633,0
27,13.097243,0
28,1.874985,0
29,1.832032,0
30,2.069707,0
31,0.890340,0
32,0.823860,0
33,3.550492,0
34,1.360328,0
35,0.911228,0
36,2.027657,0
37,109.727930,0
38,1.977693,0
39,2.485994,0
40,2.027584,0
41,2.642841,0
42,0.763374,0
43,0.830327,0
44,1.422791,0
45,2.457483,0
46,1.862298,0
47,1.221529,0
48,77.942013,0
49,0.726708,0
50,77.242229,0
51,49.582293,0
52,49.642426,0
53,1.332423,0
54,1.355724,0
55,1.474545,0
56,2.454334,0
57,0.896445,0
58,0.818434,0
59,0.802335,0
60,2.584445,0
61,0.853656,0
62,1.630498,0
63,77.306057,0
64,0.887996,0
65,0.878532,0
66,1.414206,0
67,1.427453,0
68,2.460930,0
69,1.510245,0
70,1.336854,0
71,1.351207,0
72,109.670608,0
73,2.441609,0
74,1.172410,0
75,58.028021,0
76,1.495222,0
77,50.220988,0
78,1.442175,0
79,63.759773,0
80,0.841054,0
81,2.589846,0
82,9.688568,0
83,1.394682,0
84,0.937425,0
85,1.386006,0
86,50.731369,0
87,49.467596,0
88,1.912787,0
89,1.964368,0
90,1.799492,0
91,9.141043,0
92,49.662347,0
93,0.879272,0
94,0.850655,0
95,49.612295,0
96,1.344981,0
97,1.413722,0
98,50.669807,0
99,2.449960,0
