frame,score,n_missing_dots
0,1.571343,0
1,1.088462,0
2,4.215241,0
3,0.953531,0
4,0.882705,0
5,1.093203,0
6,1.468690,0
7,3.404224,0
8,0.940762,0
9,0.889406,0
10,0.943246,0
11,2.428941,0
12,2.016662,0
13,0.989854,0
14,3.184248,0
15,1.056822,0
16,1.377733,0
17,1.076001,0
18,1.759157,0
19,1.197228,0
20,0.882915,0
21,2.300055,0
22,4.882064,0
23,5.049911,0
24,1.236016,0
25,1.481727,0
26,1.072937,0
27,5.338603,0
28,1.536882,0
29,1.984005,0
30,1.705974,0
31,1.277046,0
32,1.653037,0
33,2.856604,0
34,1.756093,0
35,1.215828,0
36,0.968008,0
37,1.244457,0
38,1.480289,0
39,0.802433,0
40,1.817537,0
41,5.700052,0
42,0.925346,0
43,0.825240,0
44,0.970710,0
45,1.673084,0
46,3.004058,0
47,3.131056,0
48,1.758373,0
49,1.964466,0
50,2.723495,0
51,1.878108,0
52,1.724804,0
53,1.585260,0
54,1.203646,0
55,1.026549,0
56,0.814518,0
57,1.494770,0
58,0.864185,0
59,1.050972,0
60,0.805175,0
61,1.009963,0
62,1.163129,0
63,2.108681,0
64,3.246291,0
65,2.428880,0
66,2.047546,0
67,1.237351,0
68,2.233826,0
69,0.944203,0
70,0.887209,0
71,3.743869,0
72,0.899670,0
73,2.386539,0
74,1.735026,0
75,1.699778,0
76,1.586757,0
77,1.947811,0
78,1.591009,0
79,1.526941,0
80,2.139921,0
81,2.777006,0
82,1.754247,0
83,1.199266,0
84,6.221868,0
85,1.137895,0
86,1.893351,0
87,1.465635,0
88,3.263729,0
89,1.709904,0
90,1.885492,0
91,1.262350,0
92,1.505218,0
93,1.204381,0
94,1.243756,0
95,2.090311,0
96,0.926368,0
97,1.715801,0
98,1.046936,0
99,2.045891,0
