frame,score,n_missing_dots
0,2.112058,0
1,3.946537,0
2,5.255895,0
3,1.059389,0
4,1.753813,0
5,2.326753,0
6,2.750887,0
7,1.279190,0
8,5.597429,0
9,1835.052911,0
10,1.998513,0
11,7.766756,0
12,1.993473,0
13,3.726893,0
14,493.202791,0
15,2.229560,0
16,41.533916,0
17,24.324087,0
18,1835.886355,0
19,3001.041001,0
20,46.244579,0
21,65.878273,0
22,7.552238,0
23,0.874658,0
24,688.829105,0
25,45.448911,0
26,44.460706,0
27,65.543271,0
28,5.908854,0
29,6.614439,0
30,32.140301,0
31,2.346452,0
32,69.752563,0
33,1832.620450,0
34,1832.717207,0
35,32.162138,0
36,5.896706,0
37,22.473972,0
38,4.322818,0
39,1.878094,0
40,1.982481,0
41,5.669686,0
42,2.438302,0
43,1833.752597,0
44,5.220955,0
45,4.956978,0
46,3.585128,0
47,3.991460,0
48,3.193870,0
49,52.919251,0
50,4.393293,0
51,44.131909,0
52,4.767614,0
53,28.467236,0
54,5.789263,0
55,7.699100,0
56,2.185019,0
57,1.154396,0
58,2.095102,0
59,2.010463,0
60,4.975519,0
61,1.822268,0
62,4.918679,0
63,2.551193,0
64,2.352421,0
65,1834.452484,0
66,1834.500092,0
67,1900.816487,0
68,1.971151,0
69,1864.098277,0
70,20.928074,0
71,32.036999,0
72,1.860013,0
73,1.762944,0
74,2.934613,0
75,1.635533,0
76,47.003727,0
77,45.232563,0
78,2.017765,0
79,5.437584,0
80,75.159294,0
81,0.879096,0
82,2.110190,0
83,1.674398,0
84,1.010781,0
85,6.331569,0
86,3.105685,0
87,1851.811792,0
88,9.503095,0
89,1833.841421,0
90,3.542434,0
91,1.202660,0
92,1.789772,0
93,3.727787,0
94,1.494926,0
95,31.363893,0
96,3.038328,0
97,64.725018,0
98,2.404842,0
99,495.801950,0
