error_cm,count
-18.0,1
-14.5,1
-11.0,1
-9.5,1
-9.0,1
-8.5,2
-8.0,2
-7.5,1
-7.0,3
-6.5,2
-6.0,6
-5.5,2
-5.0,2
-4.0,2
-3.5,3
-3.0,4
-2.5,1
-2.0,7
-1.5,2
-1.0,3
-0.5,4
-0.0,3
0.5,1
1.0,3
1.5,4
2.0,6
2.5,2
3.0,4
3.5,3
4.0,1
4.5,2
5.0,2
5.5,5
6.0,1
6.5,3
7.0,1
7.5,1
8.5,3
9.5,1
10.0,1
14.0,1
14.5,1
