frame,score,n_missing_dots
0,1.617412,0
1,1.351482,0
2,2.364018,0
3,996.629990,0
4,2.093016,0
5,566.166850,0
6,336.218760,0
7,334.743813,0
8,566.646402,0
9,1.817897,0
10,1.923705,0
11,3.216693,0
12,6.002313,0
13,1.708193,0
14,899.952477,0
15,5.882616,0
16,2.133849,0
17,2.183766,0
18,566.122534,0
19,2.903277,0
20,1820.816761,0
21,1.324545,0
22,3.491141,0
23,567.025048,0
24,3.088153,0
25,2.640334,0
26,431.369382,0
27,2.914818,0
28,0.912393,0
29,2.152300,0
30,1.366945,0
31,1.404289,0
32,1.864816,0
33,565.682057,0
34,1.688447,0
35,3.543956,0
36,2.899963,0
37,9.510916,0
38,5.500617,0
39,3.298666,0
40,899.372882,0
41,5.071440,0
42,7.356014,0
43,5.539566,0
44,2.389474,0
45,368.650332,0
46,3.234794,0
47,2.970968,0
48,397.714706,0
49,666.950033,0
50,349.524032,0
51,10.617948,0
52,7.316253,0
53,55.937843,0
54,565.187343,0
55,1.453294,0
56,2.284743,0
57,431.092153,0
58,1.843177,0
59,1.099078,0
60,2.644019,0
61,8.095538,0
62,0.931124,0
63,5.912775,0
64,5.419253,0
65,336.379389,0
66,10.466507,0
67,10.442516,0
68,6.213786,0
69,4.362419,0
70,5.014309,0
71,6.922023,0
72,567.803527,0
73,7.909832,0
74,8.820123,0
75,568.321774,0
76,340.776536,0
77,8.015777,0
78,433.933310,0
79,436.892026,0
80,4.722887,0
81,568.881667,0
82,1.092799,0
83,6.438753,0
84,569.710469,0
85,2.901027,0
86,565.418883,0
87,3.446706,0
88,6.901744,0
89,3.583636,0
90,2.366656,0
91,4.124291,0
92,1.305932,0
93,3.009015,0
94,4.792348,0
95,4.048276,0
96,8.807796,0
97,2.327189,0
98,1.596536,0
99,565.184234,0
