frame,score,n_missing_dots
0,35.426351,0
1,11.910687,0
2,2.685768,0
3,7.514001,0
4,29.919508,0
5,32.758742,0
6,39.752626,0
7,35.182534,0
8,4.915940,0
9,39.847640,0
10,11.816721,0
11,28.814001,0
12,29.757711,0
13,30.419259,0
14,7.488288,0
15,32.870267,0
16,9.072007,0
17,5.017787,0
18,32.799211,0
19,11.839608,0
20,0.841246,0
21,12.116583,0
22,8.174422,0
23,35.261015,0
24,2.152601,0
25,11.800135,0
26,32.679498,0
27,2.136301,0
28,7.974063,0
29,4.887845,0
30,0.941367,0
31,28.494264,0
32,28.468216,0
33,42.071995,0
34,32.504025,0
35,0.723285,0
36,7.551881,0
37,7.928070,0
38,29.417289,0
39,32.373929,0
40,2.306867,0
41,35.622122,0
42,9.779905,0
43,29.166507,0
44,32.375638,0
45,1.595321,0
46,28.470744,0
47,28.609462,0
48,5.205385,0
49,35.214246,0
50,0.814506,0
51,28.445599,0
52,7.749085,0
53,34.873981,0
54,2.340825,0
55,7.735497,0
56,7.928955,0
57,4.605066,0
58,7.265230,0
59,28.944418,0
60,6.639537,0
61,1.231282,0
62,36.689082,0
63,32.423214,0
64,40.398753,0
65,9.336752,0
66,0.888445,0
67,28.653066,0
68,8.138923,0
69,1.184353,0
70,5.045086,0
71,7.990826,0
72,7.850197,0
73,16.632345,0
74,9.697095,0
75,35.213985,0
76,4.888947,0
77,2.362536,0
78,35.934860,0
79,29.034036,0
80,36.705490,0
81,1.361638,0
82,5.748524,0
83,15.167868,0
84,5.202493,0
85,3.023727,0
86,11.811149,0
87,28.747230,0
88,33.567705,0
89,4.931821,0
90,8.399415,0
91,0.929760,0
92,35.639614,0
93,32.767264,0
94,39.832028,0
95,1.146365,0
96,12.535557,0
97,8.193160,0
98,28.868238,0
99,5.193096,0
