frame,score,n_missing_dots
0,15.987424,0
1,9.437582,0
2,15.945786,0
3,5.340987,0
4,8.914227,0
5,7.221192,0
6,5.417733,0
7,13.006235,0
8,1.304704,0
9,1.471181,0
10,1.650199,0
11,0.939871,0
12,4.143072,0
13,1.199522,0
14,1.655561,0
15,8.040909,0
16,1.436384,0
17,0.907588,0
18,9.230108,0
19,1.360616,0
20,18.924557,0
21,8.782125,0
22,8.741606,0
23,8.373252,0
24,7.088545,0
25,14.023171,0
26,8.650952,0
27,5.475149,0
28,5.865144,0
29,9.029715,0
30,6.035972,0
31,1.456224,0
32,0.755105,0
33,5.460758,0
34,5.623511,0
35,7.159756,0
36,7.030069,0
37,36.743756,0
38,0.841127,0
39,8.643039,0
40,0.829574,0
41,1.040758,0
42,4.106207,0
43,1.389558,0
44,0.889406,0
45,8.742638,0
46,7.118870,0
47,8.660986,0
48,7.085085,0
49,1.243596,0
50,1.106623,0
51,7.065472,0
52,1.709012,0
53,7.569405,0
54,1.234975,0
55,9.050739,0
56,7.335594,0
57,5.971782,0
58,12.734007,0
59,1.298433,0
60,5.675099,0
61,9.010698,0
62,1.563498,0
63,13.277955,0
64,7.274774,0
65,1.286255,0
66,1.123993,0
67,11.522159,0
68,1.733662,0
69,1.648478,0
70,1.061905,0
71,9.148977,0
72,13.045643,0
73,1.928311,0
74,8.841585,0
75,5.228439,0
76,11.304895,0
77,5.287473,0
78,7.814245,0
79,8.582098,0
80,5.991531,0
81,1.226689,0
82,1.331461,0
83,11.309505,0
84,14.784410,0
85,39.659419,0
86,7.216296,0
87,1.014463,0
88,5.299506,0
89,6.227897,0
90,8.568844,0
91,7.375589,0
92,1.603689,0
93,1.329939,0
94,0.951110,0
95,0.757764,0
96,12.260615,0
97,1.032098,0
98,6.808934,0
99,0.897953,0
