frame,score,n_missing_dots
0,41.873710,0
1,347.743642,0
2,50.793736,0
3,1.694315,0
4,75.231073,0
5,12.273543,0
6,139.146348,0
7,152.182502,0
8,1.226766,0
9,122.151797,0
10,38.456462,0
11,0.918212,0
12,5.739427,0
13,4.413033,0
14,3.749597,0
15,89.631758,0
16,1.587163,0
17,1.571810,0
18,0.989588,0
19,38.374041,0
20,1.268211,0
21,3.346027,0
22,24.660582,0
23,7.007691,0
24,5.707606,0
25,349.217424,0
26,25.721624,0
27,17.320678,0
28,93.851342,0
29,26.470382,0
30,30.126074,0
31,38.368608,0
32,5.849216,0
33,97.123228,0
34,1.636576,0
35,276.753300,0
36,217.509718,0
37,0.703727,0
38,0.850149,0
39,21.040999,0
40,65.781852,0
41,47.472004,0
42,2.149033,0
43,5.820424,0
44,62.874766,0
45,27.716540,0
46,26.907429,0
47,1.720201,0
48,165.644731,0
49,228.581408,0
50,122.416454,0
51,39.453246,0
52,52.077978,0
53,0.926512,0
54,312.297797,0
55,12.866560,0
56,1.037172,0
57,2.268773,0
58,38.097745,0
59,21.106739,0
60,252.742180,0
61,27.009084,0
62,27.034387,0
63,246.391621,0
64,6.428414,0
65,1.451432,0
66,7.230768,0
67,448.452762,0
68,15.853711,0
69,42.661960,0
70,24.461086,0
71,39.681074,0
72,107.128687,0
73,2.754263,0
74,318.072954,0
75,1.479545,0
76,295.295092,0
77,35.871740,0
78,63.139076,0
79,1.574479,0
80,1.552126,0
81,12.674061,0
82,12.659650,0
83,14.908305,0
84,54.356424,0
85,25.150762,0
86,13.843578,0
87,55.539385,0
88,1.467359,0
89,63.863011,0
90,0.921478,0
91,206.621226,0
92,386.648791,0
93,157.107127,0
94,0.995064,0
95,16.112087,0
96,30.525745,0
97,1.296637,0
98,38.224253,0
99,38.833210,0
