frame,score,n_missing_dots
0,118.699043,0
1,54.341906,0
2,198.666723,0
3,1.908046,0
4,2.684058,0
5,6.409704,0
6,0.883926,0
7,5.964928,0
8,3.157891,0
9,3.476965,0
10,8.249300,0
11,1375.263770,0
12,278.827059,0
13,230.727770,0
14,0.967565,0
15,5.164585,0
16,233.785844,0
17,3.826163,0
18,51.234817,0
19,3.759819,0
20,230.863137,0
21,10.263360,0
22,279.678840,0
23,2.048126,0
24,4.105012,0
25,117.459501,0
26,2.466331,0
27,2.124468,0
28,344.660399,0
29,55.049730,0
30,55.074469,0
31,2.875387,0
32,4.032416,0
33,1413.644358,0
34,1.095310,0
35,1.381443,0
36,7.352298,0
37,4.202514,0
38,1366.611977,0
39,4.898666,0
40,117.544513,0
41,0.871487,0
42,1.768990,0
43,4.778941,0
44,439.191829,0
45,3.133197,0
46,118.916327,0
47,3.146197,0
48,9.840199,0
49,10.772979,0
50,1.823641,0
51,4.387222,0
52,228.963088,0
53,3.160168,0
54,1.518694,0
55,122.593377,0
56,3.570933,0
57,3.154631,0
58,2.340044,0
59,51.431441,0
60,3.184583,0
61,116.139736,0
62,6.726181,0
63,120.238178,0
64,233.660717,0
65,117.726062,0
66,63.006330,0
67,168.754218,0
68,168.493211,0
69,70.295944,0
70,229.676315,0
71,2.434698,0
72,7.375088,0
73,1.561377,0
74,51.638910,0
75,6.335653,0
76,4.072265,0
77,4.375218,0
78,4.674134,0
79,171.125118,0
80,2.976767,0
81,1593.897993,0
82,1.128388,0
83,436.466259,0
84,22.464188,0
85,5.646644,0
86,1831.164382,0
87,1.810491,0
88,1.877356,0
89,1.518369,0
90,1.863470,0
91,52.878516,0
92,4.013288,0
93,4.709318,0
94,2.604507,0
95,4.274586,0
96,2.665755,0
97,7.821954,0
98,3.700933,0
99,6.824396,0
