frame,score,n_missing_dots
0,295.531961,0
1,213.287564,0
2,52.933084,0
3,157.623525,0
4,189.761538,0
5,127.100876,0
6,173.514606,0
7,81.872616,0
8,4.815629,0
9,221.994567,0
10,62.757309,0
11,158.964048,0
12,105.688049,0
13,225.840155,0
14,216.140080,0
15,75.884383,0
16,16.963768,0
17,92.094538,0
18,72.536633,0
19,215.272499,0
20,37.186510,0
21,43.415959,0
22,23.049604,0
23,171.238129,0
24,43.335205,0
25,338.665067,0
26,77.294600,0
27,70.664880,0
28,106.834747,0
29,119.488601,0
30,197.581353,0
31,68.637996,0
32,22.996660,0
33,66.535242,0
34,127.420682,0
35,97.157013,0
36,91.770269,0
37,64.116353,0
38,49.402372,0
39,35.776938,0
40,120.914666,0
41,59.700845,0
42,15.835677,0
43,186.526359,0
44,31.532657,0
45,78.036368,0
46,87.703832,0
47,47.678264,0
48,104.471815,0
49,37.508498,0
50,204.489655,0
51,294.848617,0
52,131.962978,0
53,190.273275,0
54,102.066469,0
55,305.437425,0
56,171.439372,0
57,156.438163,0
58,274.728335,0
59,127.165314,0
60,73.984336,0
61,173.671805,0
62,187.894415,0
63,77.354739,0
64,161.160124,0
65,173.016158,0
66,86.212830,0
67,38.847652,0
68,124.712945,0
69,163.916389,0
70,199.695051,0
71,123.833475,0
72,53.744882,0
73,73.023425,0
74,4.507038,0
75,17.489052,0
76,148.069087,0
77,89.078780,0
78,46.424367,0
79,100.451975,0
80,23.149032,0
81,53.374209,0
82,31.639020,0
83,79.059604,0
84,35.825501,0
85,93.071562,0
86,192.305678,0
87,66.448241,0
88,44.408222,0
89,49.601895,0
90,43.828378,0
91,70.158599,0
92,74.515977,0
93,220.199876,0
94,199.034665,0
95,70.461274,0
96,27.730422,0
97,156.933729,0
98,18.419557,0
99,48.580498,0
