frame,score,n_missing_dots
0,31151.908354,0
1,1205.034063,0
2,21112.093249,0
3,2825.967199,0
4,6436.633992,0
5,24820.603965,0
6,823.374580,0
7,5567.179575,0
8,53831.459067,0
9,72.986005,0
10,1406.349613,0
11,2181.915313,0
12,17603.920365,0
13,1088.171545,0
14,2836.900485,0
15,24020.476436,0
16,593.512089,0
17,1188.854708,0
18,1305.521754,0
19,719.333416,0
20,47293.106887,0
21,63930.398981,0
22,17268.030611,0
23,76383.539735,0
24,2.340568,0
25,110538.867970,0
26,2096.791388,0
27,698.719198,0
28,389704.087063,0
29,10713.819300,0
30,177.422630,0
31,3827.526111,0
32,6397.860581,0
33,840.056054,0
34,7162.094947,0
35,3824.490654,0
36,2122.839822,0
37,3224.977984,0
38,332.076472,0
39,82.217269,0
40,161.189341,0
41,6078.454285,0
42,3705.806828,0
43,3705.849686,0
44,7298.635284,0
45,1.182422,0
46,5.311256,0
47,49792.147260,0
48,267.813694,0
49,4936.609174,0
50,81668.568045,0
51,19494.729222,0
52,1027.814600,0
53,7346.640082,0
54,166.084428,0
55,9683.717127,0
56,4333.982492,0
57,28202.104148,0
58,6203.136181,0
59,119.566762,0
60,985.272965,0
61,4745.663781,0
62,23657.504535,0
63,3979.893816,0
64,12026.208965,0
65,51899.151401,0
66,493.753934,0
67,8529.799162,0
68,4491.097671,0
69,3822.361085,0
70,60566.883938,0
71,2619.694236,0
72,60.914629,0
73,2128.726736,0
74,15017.865962,0
75,6884.239172,0
76,80266.592228,0
77,258.342775,0
78,5886.296170,0
79,491.573716,0
80,685.025687,0
81,74839.564763,0
82,110.497725,0
83,2523.656680,0
84,21271.861925,0
85,78537.263338,0
86,7561.828594,0
87,2018.053652,0
88,4759.940636,0
89,5573.345132,0
90,4379.658194,0
91,86471.707348,0
92,91253.560233,0
93,2724.193633,0
94,6350.668343,0
95,1687.562511,0
96,318.803421,0
97,318.796563,0
98,884.294777,0
99,87879.835795,0
