error_cm,count
-5.5000,1
-5.0000,2
-4.5000,3
-4.0000,5
-3.5000,9
-3.0000,2
-2.5000,7
-2.0000,11
-1.5000,4
-1.0000,4
-0.5000,4
0.0000,9
0.5000,4
1.0000,9
1.5000,1
2.0000,6
2.5000,2
3.0000,3
3.5000,2
4.0000,5
5.5000,3
6.0000,3
6.5000,1
