error_cm,count
-7.5,1
-6.0,1
-4.0,2
-3.5,4
-3.0,7
-2.5,11
-2.0,3
-1.5,7
-1.0,6
-0.5,8
0.0,11
0.5,7
1.0,9
1.5,9
2.0,1
2.5,4
3.0,4
4.0,3
5.0,1
6.5,1
